game_id,selected,Goalkeeper,Defender,Midfielder,Attacker,transfers_balance,avg_team_strength_next_X,minutes,points_next_X
12694,5924,0,1,0,0,115,3,0,0.333333333
13277,5950,0,1,0,0,-19,3,0,0.333333333
13931,6179,0,1,0,0,99,2.333333333,11,0
14531,6377,0,1,0,0,5,3.333333333,0,0
15015,6413,0,1,0,0,-22,4,0,0
15620,6432,0,1,0,0,-31,4,0,0
16226,6475,0,1,0,0,-23,3.333333333,0,0
17141,6652,0,1,0,0,-6,3,0,0.333333333
18041,6610,0,1,0,0,-66,2.666666667,0,0.333333333
18415,6684,0,1,0,0,2,2.666666667,0,0.333333333
19097,6886,0,1,0,0,126,2.666666667,58,0
11,112156,0,1,0,0,0,4,0,0.333333333
536,117269,0,1,0,0,-10116,3,55,0
1063,95453,0,1,0,0,-23933,2.666666667,0,0
1594,79486,0,1,0,0,-17753,2.666666667,0,0
2131,69989,0,1,0,0,-10917,3,0,0
2668,64924,0,1,0,0,-5896,2.666666667,0,0
3206,61396,0,1,0,0,-4111,2.666666667,0,0.666666667
3745,58968,0,1,0,0,-2829,2.333333333,0,0.666666667
4287,56477,0,1,0,0,-2932,3.333333333,0,0.666666667
4833,56009,0,1,0,0,-853,3.333333333,60,0
5381,55397,0,1,0,0,-1040,3.666666667,45,0
5931,54009,0,1,0,0,-1655,3.666666667,0,0
6483,51647,0,1,0,0,-2445,4,0,0.333333333
7036,50998,0,1,0,0,-840,3.666666667,0,0.333333333
7592,50753,0,1,0,0,-408,2.666666667,0,0.666666667
8150,51463,0,1,0,0,436,2.333333333,54,0.666666667
8709,52167,0,1,0,0,303,2.333333333,45,1.333333333
9271,55475,0,1,0,0,2787,3.333333333,73,1
9836,54887,0,1,0,0,-712,3,53,0.666666667
10404,54055,0,1,0,0,-1110,3.333333333,90,0
10972,54964,0,1,0,0,383,3,90,0
11542,53676,0,1,0,0,-1841,3,0,0.333333333
12116,52471,0,1,0,0,-1507,3.666666667,0,0.666666667
12695,52696,0,1,0,0,-200,3,0,0.666666667
13278,52514,0,1,0,0,-285,3,59,0.666666667
13932,53418,0,1,0,0,436,2.333333333,90,0.333333333
14532,53323,0,1,0,0,-474,3.333333333,0,0.333333333
15016,52717,0,1,0,0,-677,4,55,0
15621,51906,0,1,0,0,-884,4,0,0
16227,51719,0,1,0,0,-362,3.333333333,0,0
17142,51643,0,1,0,0,-134,3,0,0
18042,51701,0,1,0,0,-118,2.666666667,0,0
18416,51650,0,1,0,0,-180,2.666666667,0,0
19099,51654,0,1,0,0,-136,2.666666667,0,0
12,122791,0,1,0,0,0,4,0,0.666666667
537,120917,0,1,0,0,-15695,3,90,1
1064,109545,0,1,0,0,-15011,2.666666667,90,1.333333333
1595,100104,0,1,0,0,-11689,2.666666667,90,1
2132,91179,0,1,0,0,-10449,3,90,0.666666667
2669,88907,0,1,0,0,-3610,2.666666667,90,0
3207,80910,0,1,0,0,-8438,2.666666667,38,0
3746,78950,0,1,0,0,-2638,2.333333333,0,0
